address_id,user_id,address_name,address_phone,address_zipcode,address_main,address_sub
1,1,603프렌즈1번째주소,010-0000-0000,456876,603프렌즈1번째주소 메인주소입니다,603프렌즈1번째주소 서브주소입니다
2,1,603프렌즈2번째주소,010-0000-0000,813071,603프렌즈2번째주소 메인주소입니다,603프렌즈2번째주소 서브주소입니다
3,2,쉬고싶은나무1번째주소,010-0000-0001,851774,쉬고싶은나무1번째주소 메인주소입니다,쉬고싶은나무1번째주소 서브주소입니다
4,2,쉬고싶은나무2번째주소,010-0000-0001,565244,쉬고싶은나무2번째주소 메인주소입니다,쉬고싶은나무2번째주소 서브주소입니다
5,3,디에스타(Diesta)1번째주소,010-0000-0002,421715,디에스타(Diesta)1번째주소 메인주소입니다,디에스타(Diesta)1번째주소 서브주소입니다
6,3,디에스타(Diesta)2번째주소,010-0000-0002,267131,디에스타(Diesta)2번째주소 메인주소입니다,디에스타(Diesta)2번째주소 서브주소입니다
7,4,굿밀리언1번째주소,010-0000-0003,799806,굿밀리언1번째주소 메인주소입니다,굿밀리언1번째주소 서브주소입니다
8,4,굿밀리언2번째주소,010-0000-0003,600320,굿밀리언2번째주소 메인주소입니다,굿밀리언2번째주소 서브주소입니다
9,5,라피오폰케이스1번째주소,010-0000-0004,960291,라피오폰케이스1번째주소 메인주소입니다,라피오폰케이스1번째주소 서브주소입니다
10,5,라피오폰케이스2번째주소,010-0000-0004,566336,라피오폰케이스2번째주소 메인주소입니다,라피오폰케이스2번째주소 서브주소입니다
11,6,달우1번째주소,010-0000-0005,960520,달우1번째주소 메인주소입니다,달우1번째주소 서브주소입니다
12,6,달우2번째주소,010-0000-0005,724173,달우2번째주소 메인주소입니다,달우2번째주소 서브주소입니다
13,7,0614STORY1번째주소,010-0000-0006,822726,0614STORY1번째주소 메인주소입니다,0614STORY1번째주소 서브주소입니다
14,7,0614STORY2번째주소,010-0000-0006,617287,0614STORY2번째주소 메인주소입니다,0614STORY2번째주소 서브주소입니다
15,8,동그리톡1번째주소,010-0000-0007,875454,동그리톡1번째주소 메인주소입니다,동그리톡1번째주소 서브주소입니다
16,8,동그리톡2번째주소,010-0000-0007,405701,동그리톡2번째주소 메인주소입니다,동그리톡2번째주소 서브주소입니다
17,9,코낫굿즈(CONATGOODS)1번째주소,010-0000-0008,453425,코낫굿즈(CONATGOODS)1번째주소 메인주소입니다,코낫굿즈(CONATGOODS)1번째주소 서브주소입니다
18,9,코낫굿즈(CONATGOODS)2번째주소,010-0000-0008,629664,코낫굿즈(CONATGOODS)2번째주소 메인주소입니다,코낫굿즈(CONATGOODS)2번째주소 서브주소입니다
19,10,마이큐피드💘폰케이스1번째주소,010-0000-0009,930308,마이큐피드💘폰케이스1번째주소 메인주소입니다,마이큐피드💘폰케이스1번째주소 서브주소입니다
20,10,마이큐피드💘폰케이스2번째주소,010-0000-0009,154071,마이큐피드💘폰케이스2번째주소 메인주소입니다,마이큐피드💘폰케이스2번째주소 서브주소입니다
21,11,박창주1번째주소,010-0000-0010,126570,박창주1번째주소 메인주소입니다,박창주1번째주소 서브주소입니다
22,11,박창주2번째주소,010-0000-0010,767726,박창주2번째주소 메인주소입니다,박창주2번째주소 서브주소입니다
23,12,🍱마더앤찬1번째주소,010-0000-0011,341017,🍱마더앤찬1번째주소 메인주소입니다,🍱마더앤찬1번째주소 서브주소입니다
24,12,🍱마더앤찬2번째주소,010-0000-0011,681093,🍱마더앤찬2번째주소 메인주소입니다,🍱마더앤찬2번째주소 서브주소입니다
25,13,정안일미한우국밥1번째주소,010-0000-0012,926916,정안일미한우국밥1번째주소 메인주소입니다,정안일미한우국밥1번째주소 서브주소입니다
26,13,정안일미한우국밥2번째주소,010-0000-0012,561983,정안일미한우국밥2번째주소 메인주소입니다,정안일미한우국밥2번째주소 서브주소입니다
27,14,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소,010-0000-0013,410002,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소 메인주소입니다,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소 서브주소입니다
28,14,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소,010-0000-0013,245705,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소 메인주소입니다,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소 서브주소입니다
29,15,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소,010-0000-0014,960743,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소 메인주소입니다,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소 서브주소입니다
30,15,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소,010-0000-0014,418570,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소 메인주소입니다,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소 서브주소입니다
31,16,여수언니1번째주소,010-0000-0015,729006,여수언니1번째주소 메인주소입니다,여수언니1번째주소 서브주소입니다
32,16,여수언니2번째주소,010-0000-0015,927874,여수언니2번째주소 메인주소입니다,여수언니2번째주소 서브주소입니다
33,17,해섬_강연우동태찌개1번째주소,010-0000-0016,849028,해섬_강연우동태찌개1번째주소 메인주소입니다,해섬_강연우동태찌개1번째주소 서브주소입니다
34,17,해섬_강연우동태찌개2번째주소,010-0000-0016,512164,해섬_강연우동태찌개2번째주소 메인주소입니다,해섬_강연우동태찌개2번째주소 서브주소입니다
35,18,3대를이어온농장(의성부자농장)반찬김치1번째주소,010-0000-0017,391331,3대를이어온농장(의성부자농장)반찬김치1번째주소 메인주소입니다,3대를이어온농장(의성부자농장)반찬김치1번째주소 서브주소입니다
36,18,3대를이어온농장(의성부자농장)반찬김치2번째주소,010-0000-0017,778557,3대를이어온농장(의성부자농장)반찬김치2번째주소 메인주소입니다,3대를이어온농장(의성부자농장)반찬김치2번째주소 서브주소입니다
37,19,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소,010-0000-0018,267897,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소 메인주소입니다,💖빙고씨푸드마스터셰프이슬👨‍반찬1번째주소 서브주소입니다
38,19,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소,010-0000-0018,757119,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소 메인주소입니다,💖빙고씨푸드마스터셰프이슬👨‍반찬2번째주소 서브주소입니다
39,20,3대를이어온농장(의성부자농장)반찬김치1번째주소,010-0000-0019,466189,3대를이어온농장(의성부자농장)반찬김치1번째주소 메인주소입니다,3대를이어온농장(의성부자농장)반찬김치1번째주소 서브주소입니다
40,20,3대를이어온농장(의성부자농장)반찬김치2번째주소,010-0000-0019,908835,3대를이어온농장(의성부자농장)반찬김치2번째주소 메인주소입니다,3대를이어온농장(의성부자농장)반찬김치2번째주소 서브주소입니다
41,21,해섬_강연우동태찌개1번째주소,010-0000-0020,962275,해섬_강연우동태찌개1번째주소 메인주소입니다,해섬_강연우동태찌개1번째주소 서브주소입니다
42,21,해섬_강연우동태찌개2번째주소,010-0000-0020,217489,해섬_강연우동태찌개2번째주소 메인주소입니다,해섬_강연우동태찌개2번째주소 서브주소입니다
43,22,모드니(modenii)1번째주소,010-0000-0021,428910,모드니(modenii)1번째주소 메인주소입니다,모드니(modenii)1번째주소 서브주소입니다
44,22,모드니(modenii)2번째주소,010-0000-0021,805919,모드니(modenii)2번째주소 메인주소입니다,모드니(modenii)2번째주소 서브주소입니다
45,23,아로마플래닛1번째주소,010-0000-0022,356310,아로마플래닛1번째주소 메인주소입니다,아로마플래닛1번째주소 서브주소입니다
46,23,아로마플래닛2번째주소,010-0000-0022,115343,아로마플래닛2번째주소 메인주소입니다,아로마플래닛2번째주소 서브주소입니다
47,24,패미로스1번째주소,010-0000-0023,505612,패미로스1번째주소 메인주소입니다,패미로스1번째주소 서브주소입니다
48,24,패미로스2번째주소,010-0000-0023,706301,패미로스2번째주소 메인주소입니다,패미로스2번째주소 서브주소입니다
49,25,인레더감성바구니1번째주소,010-0000-0024,262651,인레더감성바구니1번째주소 메인주소입니다,인레더감성바구니1번째주소 서브주소입니다
50,25,인레더감성바구니2번째주소,010-0000-0024,796869,인레더감성바구니2번째주소 메인주소입니다,인레더감성바구니2번째주소 서브주소입니다
51,26,MOONYUMMOOSANG1번째주소,010-0000-0025,942766,MOONYUMMOOSANG1번째주소 메인주소입니다,MOONYUMMOOSANG1번째주소 서브주소입니다
52,26,MOONYUMMOOSANG2번째주소,010-0000-0025,929159,MOONYUMMOOSANG2번째주소 메인주소입니다,MOONYUMMOOSANG2번째주소 서브주소입니다
