user_id,user_email,user_pw,user_name,user_tel,reg_date,user_point,writer_flag
1,writer1@gmail.com,1001,603프렌즈,01010000001,2021-02-19,0,True
2,writer2@gmail.com,1002,쉬고싶은나무,01010000002,2021-02-19,0,True
3,writer3@gmail.com,1003,디에스타(Diesta),01010000003,2021-02-19,0,True
4,writer4@gmail.com,1004,굿밀리언,01010000004,2021-02-19,0,True
5,writer5@gmail.com,1005,라피오폰케이스,01010000005,2021-02-19,0,True
6,writer6@gmail.com,1006,달우,01010000006,2021-02-19,0,True
7,writer7@gmail.com,1007,0614STORY,01010000007,2021-02-19,0,True
8,writer8@gmail.com,1008,동그리톡,01010000008,2021-02-19,0,True
9,writer9@gmail.com,1009,코낫굿즈(CONATGOODS),01010000009,2021-02-19,0,True
10,writer10@gmail.com,1010,마이큐피드💘폰케이스,01010000010,2021-02-19,0,True
11,writer11@gmail.com,1011,박창주,01010000011,2021-02-19,0,True
12,writer12@gmail.com,1012,🍱마더앤찬,01010000012,2021-02-19,0,True
13,writer13@gmail.com,1013,정안일미한우국밥,01010000013,2021-02-19,0,True
14,writer14@gmail.com,1014,💖빙고씨푸드마스터셰프이슬👨‍반찬,01010000014,2021-02-19,0,True
15,writer15@gmail.com,1015,💖빙고씨푸드마스터셰프이슬👨‍반찬,01010000015,2021-02-19,0,True
16,writer16@gmail.com,1016,여수언니,01010000016,2021-02-19,0,True
17,writer17@gmail.com,1017,해섬_강연우동태찌개,01010000017,2021-02-19,0,True
18,writer18@gmail.com,1018,3대를이어온농장(의성부자농장)반찬김치,01010000018,2021-02-19,0,True
19,writer19@gmail.com,1019,💖빙고씨푸드마스터셰프이슬👨‍반찬,01010000019,2021-02-19,0,True
20,writer20@gmail.com,1020,3대를이어온농장(의성부자농장)반찬김치,01010000020,2021-02-19,0,True
21,writer21@gmail.com,1021,해섬_강연우동태찌개,01010000021,2021-02-19,0,True
22,writer22@gmail.com,1022,모드니(modenii),01010000022,2021-02-19,0,True
23,writer23@gmail.com,1023,아로마플래닛,01010000023,2021-02-19,0,True
24,writer24@gmail.com,1024,패미로스,01010000024,2021-02-19,0,True
25,writer25@gmail.com,1025,인레더감성바구니,01010000025,2021-02-19,0,True
26,writer26@gmail.com,1026,MOONYUMMOOSANG,01010000026,2021-02-19,0,True
27,writer27@gmail.com,1027,두마리목장,01010000027,2021-02-19,0,True
28,writer28@gmail.com,1028,글림펄Gleampearl,01010000028,2021-02-19,0,True
29,writer29@gmail.com,1029,"잎새양초,오후의분위기",01010000029,2021-02-19,0,True
30,writer30@gmail.com,1030,끼니대장,01010000030,2021-02-19,0,True
31,writer31@gmail.com,1031,브레노웰트,01010000031,2021-02-19,0,True
32,writer32@gmail.com,1032,MARCATO,01010000032,2021-02-19,0,True
33,writer33@gmail.com,1033,브레노웰트,01010000033,2021-02-19,0,True
34,writer34@gmail.com,1034,로우플로우,01010000034,2021-02-19,0,True
35,writer35@gmail.com,1035,컬러콜라,01010000035,2021-02-19,0,True
36,writer36@gmail.com,1036,사리슈즈(SARI),01010000036,2021-02-19,0,True
37,writer37@gmail.com,1037,MARCATO,01010000037,2021-02-19,0,True
38,writer38@gmail.com,1038,사리슈즈(SARI),01010000038,2021-02-19,0,True
39,writer39@gmail.com,1039,피스오브럭슈즈스토어,01010000039,2021-02-19,0,True
40,writer40@gmail.com,1040,브로노마드,01010000040,2021-02-19,0,True
41,writer41@gmail.com,1041,피타파타,01010000041,2021-02-19,0,True
42,writer42@gmail.com,1042,레스터,01010000042,2021-02-19,0,True
