user_id,user_email,user_pw,user_name,user_tel,reg_date,user_point,writer_flag
1,writer1@gmail.com,1001,603프렌즈,010-0000-0000,2021-02-19,0,True
2,writer2@gmail.com,1002,쉬고싶은나무,010-0000-0001,2021-02-19,0,True
3,writer3@gmail.com,1003,디에스타(Diesta),010-0000-0002,2021-02-19,0,True
4,writer4@gmail.com,1004,굿밀리언,010-0000-0003,2021-02-19,0,True
5,writer5@gmail.com,1005,라피오폰케이스,010-0000-0004,2021-02-19,0,True
6,writer6@gmail.com,1006,달우,010-0000-0005,2021-02-19,0,True
7,writer7@gmail.com,1007,0614STORY,010-0000-0006,2021-02-19,0,True
8,writer8@gmail.com,1008,동그리톡,010-0000-0007,2021-02-19,0,True
9,writer9@gmail.com,1009,코낫굿즈(CONATGOODS),010-0000-0008,2021-02-19,0,True
10,writer10@gmail.com,1010,마이큐피드💘폰케이스,010-0000-0009,2021-02-19,0,True
11,writer11@gmail.com,1011,박창주,010-0000-0010,2021-02-19,0,True
12,writer12@gmail.com,1012,🍱마더앤찬,010-0000-0011,2021-02-19,0,True
13,writer13@gmail.com,1013,정안일미한우국밥,010-0000-0012,2021-02-19,0,True
14,writer14@gmail.com,1014,💖빙고씨푸드마스터셰프이슬👨‍반찬,010-0000-0013,2021-02-19,0,True
15,writer15@gmail.com,1015,💖빙고씨푸드마스터셰프이슬👨‍반찬,010-0000-0014,2021-02-19,0,True
16,writer16@gmail.com,1016,여수언니,010-0000-0015,2021-02-19,0,True
17,writer17@gmail.com,1017,해섬_강연우동태찌개,010-0000-0016,2021-02-19,0,True
18,writer18@gmail.com,1018,3대를이어온농장(의성부자농장)반찬김치,010-0000-0017,2021-02-19,0,True
19,writer19@gmail.com,1019,💖빙고씨푸드마스터셰프이슬👨‍반찬,010-0000-0018,2021-02-19,0,True
20,writer20@gmail.com,1020,3대를이어온농장(의성부자농장)반찬김치,010-0000-0019,2021-02-19,0,True
21,writer21@gmail.com,1021,해섬_강연우동태찌개,010-0000-0020,2021-02-19,0,True
22,writer22@gmail.com,1022,모드니(modenii),010-0000-0021,2021-02-19,0,True
23,writer23@gmail.com,1023,아로마플래닛,010-0000-0022,2021-02-19,0,True
