,user_id,user_email,user_pw,user_tel,reg_date,user_point,user_name,writer_flag
0,1,ggotts0@nhs.uk,ucHHlWFMlPy,475-396-8569,10/16/2020,3989,초코써니수제청수제과일청,True
1,2,tlawlings1@soup.io,dnsTqMMP,654-785-3677,9/5/2020,9545,포시즌테이블,True
2,3,cogles2@cornell.edu,AjoFkbnFV,571-530-3596,10/26/2020,4800,플로썸,True
3,4,rklagges3@cdbaby.com,0mKSmcD,402-983-3965,6/4/2020,2830,그:때커피,True
4,5,bpettett4@mediafire.com,m2AKRSDUqIh,555-800-5363,1/15/2021,3807,보르딘,True
5,6,mtorrie5@latimes.com,LQfC0noYr,571-399-6279,5/14/2020,3064,그:때커피,True
6,7,cshadbolt6@printfriendly.com,3zQtgD,785-197-4286,1/31/2021,8654,소블링커피,True
7,8,pmaudsley7@usnews.com,6AkIjhCJkgIV,199-898-5804,11/14/2020,1361,보르딘,True
8,9,escay8@youtu.be,2DiIh9C,267-692-8957,3/6/2020,6739,보나플로,True
9,10,flunck9@hc360.com,8EpsrVA4Ye,258-161-5659,11/3/2020,4324,그:때커피,True
10,11,lrandalstona@unicef.org,WOp5Ux0Zj,490-933-7461,4/7/2020,1965,마켓컴퍼니,True
11,12,sdriffeb@addthis.com,qtxUcSA14Fkk,957-887-3403,2/8/2020,7050,마이더치커피,True
12,13,abalentynec@bing.com,lhSIxC,520-931-2127,3/19/2020,5963,엘리펀트커피랩,True
13,14,apregald@godaddy.com,JTRybaW,854-470-1163,10/1/2020,9819,땡기는공방수제청,True
14,15,hfosdykee@posterous.com,dBC9ODa,213-455-2142,6/6/2020,9732,,True
